ac_voltage2,dc_current2,ac_voltage1,sampleTime,tdate,dc_voltage1,dc_current4,dc_voltage4,dc_voltage3,dc_current1,key,dc_current3,ac_current1,FALSE,ac_current2,dc_voltage2
505,0,505,1380027558,24/09/2013 10:59,0,0,0,0,0,146026,0,505,,505,0
505,0,505,1380026921,24/09/2013 10:49,0,0,0,0,0,146025,0,505,,505,0
505,0,505,1380026283,24/09/2013 10:38,0,0,0,0,0,136041,0,505,,505,0
505,0,505,1380025610,24/09/2013 10:27,0,0,0,0,0,145033,0,505,,505,0
0,509,1,1380023640,24/09/2013 09:54,0,509,0,0,0,145032,1,2,,4,0
1,511,1,1380023002,24/09/2013 09:43,0,508,0,0,0,134038,1,2,,4,0
1,510,0,1380022367,24/09/2013 09:33,0,509,0,0,0,138031,1,1,,4,0
1,509,1,1380021729,24/09/2013 09:22,0,507,0,0,0,145031,1,3,,4,0
1,510,1,1380021094,24/09/2013 09:11,0,507,0,0,0,136040,1,3,,4,0
1,509,0,1380020461,24/09/2013 09:01,0,508,0,0,0,133027,1,2,,5,0
1,510,0,1380019826,24/09/2013 08:50,0,509,0,0,0,134036,1,2,,4,0
1,508,0,1380019192,24/09/2013 08:40,0,508,0,0,0,135026,1,3,,4,0
0,510,1,1380018560,24/09/2013 08:29,0,508,0,0,0,138030,1,3,,4,0
1,510,0,1380017919,24/09/2013 08:19,0,507,0,0,0,149007,1,3,,5,0
0,509,1,1380017286,24/09/2013 08:08,0,509,0,0,0,138029,1,2,,4,0
1,511,0,1380016653,24/09/2013 07:57,0,510,0,0,0,138028,1,3,,4,0
1,509,1,1380016020,24/09/2013 07:47,0,509,0,0,0,134034,1,3,,4,0
1,511,0,1380015385,24/09/2013 07:36,0,509,0,0,0,147012,1,2,,4,0
1,510,0,1380014752,24/09/2013 07:26,0,507,0,0,0,133026,1,3,,4,0
0,511,0,1380014119,24/09/2013 07:15,0,510,0,0,0,125212,1,2,,4,0
1,510,0,1380013485,24/09/2013 07:05,0,510,0,0,0,135025,1,3,,4,0
