ac_voltage2,dc_current2,ac_voltage1,sampleTime,tdate,dc_voltage1,dc_current4,dc_voltage4,dc_voltage3,dc_current1,key,dc_current3,ac_current1,FALSE,ac_current2,dc_voltage2
271,532,313,1381068048,06/10/2013 12:01,529,531,490,569,597,151001,581,7,,3,451
262,514,313,1381067411,06/10/2013 11:50,537,529,487,588,597,157002,575,12,,3,457
272,527,313,1381066773,06/10/2013 11:39,520,526,448,483,544,163001,556,18,,3,437
264,528,313,1381066138,06/10/2013 11:29,504,583,465,462,554,150001,568,15,,3,414
287,517,314,1381065505,06/10/2013 11:18,561,526,491,594,598,157001,604,8,,3,462
261,528,314,1381062950,06/10/2013 10:36,540,507,486,606,602,5.11057E+15,551,14,,3,407
273,538,313,1381062314,06/10/2013 10:25,523,520,489,586,590,4.78996E+15,553,12,,3,450
273,528,316,1381061676,06/10/2013 10:14,528,513,461,573,565,6.15459E+15,553,5,,3,440
287,529,315,1381061042,06/10/2013 10:04,516,529,486,549,566,6.07502E+15,556,13,,3,443
273,517,316,1381060409,06/10/2013 09:53,547,516,489,597,591,4.81621E+15,556,6,,4,438
268,510,314,1381059776,06/10/2013 09:43,528,503,487,577,586,6.12834E+15,558,12,,3,442
262,518,316,1381059142,06/10/2013 09:32,532,507,466,583,590,5.99544E+15,557,17,,4,381
288,511,317,1381058509,06/10/2013 09:22,525,532,486,585,594,4.97564E+15,560,15,,4,457
262,509,316,1381057871,06/10/2013 09:11,535,513,486,586,599,6.19734E+15,564,13,,3,452
264,531,314,1381057237,06/10/2013 09:00,527,519,450,585,599,6.61089E+15,564,12,,3,454
276,514,340,1381056604,06/10/2013 08:50,533,515,489,589,601,5.16435E+15,566,5,,3,416
293,509,340,1381055971,06/10/2013 08:39,525,525,487,549,578,6.24984E+15,576,14,,4,378
293,511,340,1381055338,06/10/2013 08:29,574,512,472,501,551,6.04794E+15,565,10,,4,374
293,515,340,1381054692,06/10/2013 08:18,554,523,489,561,591,6.18126E+15,586,13,,3,448
293,514,340,1381054059,06/10/2013 08:08,556,527,492,592,602,5.05536E+15,589,14,,3,453
293,526,343,1381053414,06/10/2013 07:57,551,520,474,517,564,5.67352E+15,585,13,,3,438
293,506,341,1381052780,06/10/2013 07:46,557,536,487,538,580,4.94912E+15,611,15,,3,346
293,515,342,1381052147,06/10/2013 07:36,540,522,474,517,557,5.12394E+15,575,16,,4,456
272,516,341,1381051514,06/10/2013 07:25,563,519,478,538,579,6.35649E+15,608,20,,4,445
292,524,340,1381050879,06/10/2013 07:15,556,521,472,526,566,5.8334E+15,589,5,,4,443
293,537,341,1381050247,06/10/2013 07:04,564,510,470,513,568,5.07144E+15,589,14,,3,426
293,534,340,1380997130,05/10/2013 16:19,1,541,424,0,511,4.76158E+15,511,6,,3,412
293,534,341,1380996493,05/10/2013 16:08,34,520,425,32,510,5.7297E+15,511,17,,4,412
293,538,342,1380995857,05/10/2013 15:57,261,528,425,246,512,4.55157E+15,512,9,,3,412
293,526,343,1380995223,05/10/2013 15:47,370,562,426,353,511,5.98877E+15,512,5,,4,413
293,521,341,1380994585,05/10/2013 15:36,419,597,421,416,513,6.05509E+15,514,13,,5,414
294,542,343,1380993948,05/10/2013 15:26,419,563,423,416,514,4.6038E+15,515,26,,4,413
294,535,358,1380993306,05/10/2013 15:15,421,557,430,415,521,5.86137E+15,525,14,,3,417
297,557,367,1380992672,05/10/2013 15:04,424,526,438,473,531,4.52546E+15,536,11,,4,418
301,527,389,1380992034,05/10/2013 14:54,502,546,442,509,534,5.69053E+15,543,12,,6,425
304,530,419,1380991395,05/10/2013 14:43,544,532,438,528,543,6.64449E+15,557,4,,4,437
297,530,371,1380990761,05/10/2013 14:33,425,527,436,469,530,4.56463E+15,534,14,,3,419
301,517,370,1380990082,05/10/2013 14:21,507,612,430,496,533,5.57192E+15,542,17,,4,438
294,527,362,1380989446,05/10/2013 14:11,516,616,437,499,537,5.93545E+15,547,14,,4,428
294,519,363,1380988806,05/10/2013 14:00,567,571,460,523,556,5.51859E+15,574,6,,3,431
294,533,352,1380988172,05/10/2013 13:49,527,537,444,519,538,6.08154E+15,545,8,,7,447
293,518,343,1380987538,05/10/2013 13:39,529,537,443,529,538,6.53784E+15,544,17,,2,435
293,541,342,1380986901,05/10/2013 13:28,537,549,443,513,535,6.10821E+15,543,14,,3,423
293,528,340,1380986254,05/10/2013 13:18,424,528,436,482,529,6.75074E+15,536,14,,4,418
278,571,341,1380985621,05/10/2013 13:07,425,532,444,436,527,5.38549E+15,533,13,,8,419
293,522,346,1380984988,05/10/2013 12:56,536,527,479,565,596,5.94844E+15,600,13,,4,450
293,576,342,1380984349,05/10/2013 12:46,537,540,487,570,592,6.72448E+15,577,29,,8,465
293,549,343,1380983712,05/10/2013 12:35,551,563,490,596,594,5.59858E+15,595,15,,2,449
298,533,367,1380983056,05/10/2013 12:24,532,577,475,579,601,6.00211E+15,586,25,,4,355
327,535,419,1380982420,05/10/2013 12:14,544,548,490,540,594,6.16153E+15,621,7,,8,442
318,532,380,1380981775,05/10/2013 12:03,577,558,489,557,603,6.02822E+15,672,5,,4,447
315,535,419,1380981139,05/10/2013 11:52,419,662,428,417,529,4.90232E+15,533,13,,5,413
336,537,420,1380980501,05/10/2013 11:42,517,551,449,494,542,4.96898E+15,554,22,,9,421
333,598,420,1380979865,05/10/2013 11:31,534,649,436,500,524,6.14793E+15,564,6,,8,372
418,555,448,1380978576,05/10/2013 11:09,460,531,448,433,535,4.87621E+15,543,16,,3,423
445,535,451,1380977938,05/10/2013 10:59,534,542,462,598,608,4.95564E+15,568,9,,4,445
440,543,451,1380977298,05/10/2013 10:48,575,533,487,615,604,6.20387E+15,574,7,,20,447
432,512,451,1380976653,05/10/2013 10:37,526,504,486,500,555,5.02203E+15,567,5,,2,439
424,514,450,1380976017,05/10/2013 10:27,545,520,488,575,559,5.07797E+15,565,2,,2,439
419,515,451,1380975377,05/10/2013 10:16,536,511,486,492,554,6.21692E+15,572,2,,3,433
418,514,449,1380974082,05/10/2013 09:55,514,522,471,485,550,5.21066E+15,563,4,,2,436
418,515,449,1380973449,05/10/2013 09:44,523,513,486,575,589,5.03563E+15,574,2,,3,446
418,514,448,1380972816,05/10/2013 09:33,534,536,485,585,605,5.97489E+15,573,4,,2,452
418,513,449,1380972179,05/10/2013 09:23,523,525,487,578,609,5.77361E+15,579,4,,2,458
423,514,451,1380971544,05/10/2013 09:12,525,534,492,569,606,6.27025E+15,583,4,,2,453
422,509,451,1380970910,05/10/2013 09:02,555,505,456,602,603,5.10401E+15,585,2,,2,453
445,513,453,1380970277,05/10/2013 08:51,530,511,486,573,603,6.25637E+15,591,2,,2,455
445,513,452,1380969626,05/10/2013 08:40,550,517,491,583,590,5.31711E+15,596,2,,3,450
446,512,453,1380968994,05/10/2013 08:30,488,511,472,470,566,5.66696E+15,585,2,,3,440
446,509,463,1380968311,05/10/2013 08:18,547,527,465,575,601,5.18379E+15,608,4,,3,475
445,509,462,1380967679,05/10/2013 08:08,522,517,464,474,555,5.13047E+15,573,2,,2,435
447,513,463,1380967045,05/10/2013 07:57,533,509,475,489,578,5.26378E+15,607,3,,2,441
447,514,463,1380966412,05/10/2013 07:47,550,529,488,572,607,6.46926E+15,639,2,,3,348
448,512,465,1380965779,05/10/2013 07:36,559,515,489,571,606,5.82673E+15,643,3,,3,379
448,510,466,1380965146,05/10/2013 07:26,551,505,466,520,584,5.14435E+15,620,3,,2,365
448,508,468,1380964505,05/10/2013 07:15,575,513,493,558,604,5.64092E+15,668,3,,3,440
447,513,467,1380963872,05/10/2013 07:04,544,526,432,499,554,5.74674E+15,569,2,,2,427
448,513,467,1380959412,05/10/2013 05:50,581,504,458,544,575,5.86645E+15,602,3,,3,397
365,528,446,1380909349,04/10/2013 15:56,136,563,422,154,511,4.61999E+15,510,8,,7,399
368,561,446,1380908715,04/10/2013 15:45,342,518,423,331,510,6.642E+15,513,14,,4,399
365,540,446,1380908078,04/10/2013 15:35,373,523,423,365,511,5.45102E+15,512,12,,6,398
368,544,445,1380907442,04/10/2013 15:24,431,531,422,430,514,5.15113E+15,512,14,,5,398
368,527,445,1380906804,04/10/2013 15:13,406,522,423,412,512,6.18934E+15,515,4,,5,400
376,582,446,1380906170,04/10/2013 15:03,404,523,424,412,514,5.4405E+15,517,16,,10,397
366,535,445,1380905538,04/10/2013 14:52,406,529,423,412,514,6.11842E+15,516,4,,10,399
339,598,420,1380904905,04/10/2013 14:42,402,542,424,412,514,6.07905E+15,515,14,,3,399
337,551,432,1380904273,04/10/2013 14:31,405,708,420,411,513,6.09196E+15,515,23,,4,399
348,537,446,1380903609,04/10/2013 14:20,406,530,425,414,515,5.75916E+15,515,6,,16,401
365,523,446,1380902975,04/10/2013 14:09,409,530,427,414,513,4.95315E+15,516,3,,4,403
334,531,436,1380902328,04/10/2013 13:59,410,528,427,416,518,4.88807E+15,522,16,,4,405
333,547,420,1380901685,04/10/2013 13:48,409,530,429,418,517,6.62083E+15,519,13,,4,404
337,533,420,1380901051,04/10/2013 13:37,410,520,429,418,516,4.99252E+15,518,7,,7,404
334,521,419,1380900416,04/10/2013 13:27,411,528,430,418,516,6.3999E+15,518,6,,4,405
329,531,411,1380899783,04/10/2013 13:16,411,527,431,420,517,4.58818E+15,519,4,,8,406
301,609,368,1380899148,04/10/2013 13:06,413,536,432,422,517,4.72946E+15,522,15,,10,406
293,533,343,1380898515,04/10/2013 12:55,414,568,433,420,516,4.87755E+15,519,20,,9,409
293,535,342,1380897882,04/10/2013 12:45,498,550,432,494,534,5.30554E+15,541,18,,10,372
293,542,340,1380897250,04/10/2013 12:34,506,692,441,476,545,5.53479E+15,557,6,,10,421
293,531,347,1380896596,04/10/2013 12:23,497,611,463,457,562,6.4524E+15,584,23,,6,427
298,542,368,1380895962,04/10/2013 12:13,530,527,486,514,595,5.3265E+15,657,14,,3,438
298,623,410,1380895328,04/10/2013 12:02,553,524,478,506,587,5.23462E+15,632,13,,16,429
333,540,419,1380894695,04/10/2013 11:51,550,578,486,521,588,5.88945E+15,631,13,,3,432
303,622,401,1380894058,04/10/2013 11:41,558,516,480,524,582,4.76355E+15,619,5,,13,430
333,546,420,1380893425,04/10/2013 11:30,569,605,481,538,584,5.15903E+15,625,3,,27,403
328,680,400,1380892786,04/10/2013 11:20,564,530,435,513,548,5.72198E+15,563,2,,16,419
329,765,419,1380892153,04/10/2013 11:09,555,524,426,522,542,6.37344E+15,556,10,,34,397
333,679,420,1380891520,04/10/2013 10:58,546,517,425,506,539,5.16954E+15,565,14,,9,419
329,556,406,1380890883,04/10/2013 10:48,545,562,464,510,560,5.43315E+15,578,9,,34,421
329,714,419,1380890239,04/10/2013 10:37,553,530,459,514,559,5.6211E+15,576,9,,14,411
334,606,423,1380889606,04/10/2013 10:27,549,519,464,521,570,5.49493E+15,601,13,,3,420
337,563,421,1380888953,04/10/2013 10:16,541,523,458,519,564,6.62887E+15,588,16,,4,364
335,636,431,1380888320,04/10/2013 10:05,565,521,466,534,576,4.59608E+15,611,16,,25,429
367,547,446,1380887686,04/10/2013 09:55,551,523,468,500,554,5.50297E+15,570,7,,22,430
402,538,447,1380887044,04/10/2013 09:44,577,513,479,533,577,6.18405E+15,609,5,,15,435
368,529,446,1380886411,04/10/2013 09:33,535,536,458,506,561,6.63677E+15,580,6,,4,433
417,526,448,1380885777,04/10/2013 09:23,535,517,461,495,580,5.05815E+15,616,12,,4,441
396,562,447,1380885143,04/10/2013 09:12,574,517,428,538,573,4.65339E+15,605,14,,3,433
417,530,446,1380884504,04/10/2013 09:02,516,548,451,507,539,5.51087E+15,548,5,,11,417
418,528,448,1380883871,04/10/2013 08:51,510,513,451,492,543,6.05788E+15,550,6,,5,451
418,616,448,1380883237,04/10/2013 08:40,510,516,459,485,557,4.67167E+15,575,14,,15,429
419,579,449,1380882584,04/10/2013 08:30,526,524,475,500,596,4.63326E+15,650,7,,7,440
418,527,449,1380881936,04/10/2013 08:19,565,518,478,546,594,4.60659E+15,647,9,,4,467
423,532,448,1380881303,04/10/2013 08:08,538,544,447,505,551,4.94002E+15,562,6,,14,429
446,553,452,1380880665,04/10/2013 07:58,533,514,459,512,566,5.34492E+15,588,12,,3,431
