text,tdate,key
"Sun Oct  6 13:08:13 2013
 (Rwanda).successful (3s) - GSM (2G). Registered on Home Network (-75dbm). Unsuccessful.",2013-10-06 11:08:21,153001
"Sun Oct  6 13:29:22 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (55 bytes - 5s).",2013-10-06 11:29:30,154001
"Sun Oct  6 13:18:48 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (54 bytes - 5s).",2013-10-06 11:18:55,155001
"Sat Sep 28 12:36:09 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 4s).",2013-09-28 10:36:19,4505987629187072
"Fri Oct  4 17:03:14 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (56 bytes - 5s).",2013-10-04 15:03:19,4508392810872832
"Wed Oct  2 14:43:09 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 5s).",2013-10-02 12:43:13,4509767200407552
"Sun Sep 15 17:53:20 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 7s).",2013-09-15 15:53:26,4510609013997568
"Tue Sep 10 08:11:13 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-75dbm). Successful (46 bytes - 8s).",2013-09-10 06:11:19,4510883891904512
"Sat Oct  5 15:18:11 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 17s).",2013-10-05 13:18:14,4512129432420352
"Thu Oct  3 15:27:10 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (56 bytes - 5s).",2013-10-03 13:27:31,4512653418430464
"Mon Sep 23 09:46:46 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 5s).",2013-09-23 07:46:50,4513804469665792
"Sun Sep 15 16:28:40 2013
 (Rwanda).successful (1s) - GSM (2G). Registered on Home Network (-73dbm). Successful (55 bytes - 3s).",2013-09-15 14:28:46,4514663463124992
"Mon Sep 30 11:23:03 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 5s).",2013-09-30 09:23:09,4514921161162752
"Tue Sep 24 18:40:48 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-09-24 16:40:52,4517274803240960
"Thu Sep 19 15:48:33 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 8s).",2013-09-19 13:48:46,4517549681147904
"Thu Oct  3 05:43:11 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Unsuccessful.",2013-10-03 03:43:16,4517807379185664
"Sat Sep 21 18:47:24 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (50 bytes - 4s).",2013-09-21 16:47:31,4518649192775680
"Thu Sep 12 06:19:16 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 5s).",2013-09-12 04:19:21,4520367179694080
"Sat Sep 21 12:26:06 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 8s).",2013-09-21 10:26:09,4525108823588864
"Tue Oct  1 17:15:59 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 5s).",2013-10-01 15:16:04,4525710119010304
"Mon Sep 23 08:32:48 2013
 (Rwanda).successful (1s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-09-23 06:32:53,4526620652077056
"Fri Sep 20 16:08:10 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (55 bytes - 5s).",2013-09-20 14:08:16,4527170407890944
"Fri Sep 13 12:31:15 2013
 (Rwanda).successful (3s) - UMTS (3G). Registered on Home Network (-107dbm). Successful (56 bytes - 5s).",2013-09-13 10:31:20,4529025833762816
"Sun Sep 29 05:11:13 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-09-29 03:11:19,4529661488922624
"Thu Oct  3 13:41:11 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 8s).",2013-10-03 11:41:17,4530932799242240
"Sat Sep 14 09:03:42 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 4s).",2013-09-14 07:03:47,4533149002366976
"Tue Sep 10 13:10:35 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (55 bytes - 10s).",2013-09-10 11:10:39,4533698758180864
"Wed Sep 18 15:03:39 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-75dbm). Successful (55 bytes - 5s).",2013-09-18 13:03:45,4537959365738496
"Sat Sep 21 09:46:47 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 4s).",2013-09-21 07:46:52,4541326620098560
"Thu Oct  3 13:09:28 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 8s).",2013-10-03 11:09:36,4543852060868608
"Fri Sep 20 07:28:22 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-75dbm). Unsuccessful.",2013-09-20 05:28:28,4544212838121472
"Sun Sep 22 08:22:07 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-77dbm). Unsuccessful.",2013-09-22 06:22:14,4545312349749248
"Wed Sep 18 12:03:49 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (56 bytes - 5s).",2013-09-18 10:03:54,4545793386086400
"Sat Sep 28 05:32:20 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Unsuccessful.",2013-09-28 03:32:24,4545879285432320
"Wed Oct  2 14:53:41 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-73dbm). Successful (56 bytes - 5s).",2013-10-02 12:53:53,4549624496914432
"Mon Sep 30 08:21:54 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-09-30 06:21:59,4550380411158528
"Fri Sep 13 05:43:09 2013
 (Rwanda).successful (4s) - UMTS (3G). Registered on Home Network (-107dbm). Successful (55 bytes - 5s).",2013-09-13 03:43:15,4551840700039168
"Fri Sep 20 18:47:49 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (50 bytes - 5s).",2013-09-20 16:48:00,4553283809050624
"Thu Sep 12 07:12:13 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (56 bytes - 4s).",2013-09-12 05:12:19,4554452040155136
"Mon Sep 16 06:25:44 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-81dbm). Successful (54 bytes - 5s).",2013-09-16 04:25:51,4555001795969024
